hex1_id,hex2_id,L1,L2,L3,L5,Mi1,Mi4,Mi9,C2,C3,Tm1,Tm2,Tm4,Tm9,Tm20,T1,x,y
10,1,87640,97977,150357,212709,95794.0,94193.0,59620.0,116437.0,93665.0,115425.0,104527.0,93340.0,138724.0,131908.0,64255.0,-9,11
10,2,29003,35347,96535,153671,46860.0,65789.0,100355.0,108584.0,75672.0,70168.0,71097.0,133138.0,123751.0,108386.0,103917.0,-8,12
10,3,51815,51534,48503,122554,44795.0,68677.0,76658.0,78193.0,59699.0,54239.0,63494.0,76135.0,100414.0,96627.0,32546.0,-7,13
10,4,27641,18243,50809,74266,44029.0,67096.0,64698.0,84816.0,50089.0,96412.0,59208.0,,90611.0,94313.0,34806.0,-6,14
10,5,27357,27064,56796,126661,39126.0,63227.0,73466.0,81715.0,59350.0,54847.0,58467.0,77580.0,94296.0,98326.0,36239.0,-5,15
10,6,39722,34513,79361,139201,42909.0,53040.0,72371.0,87653.0,58114.0,50165.0,51189.0,71544.0,546479.0,97278.0,43578.0,-4,16
10,7,37359,35651,83683,107853,37730.0,106574.0,73792.0,84516.0,57685.0,49628.0,50040.0,73944.0,93171.0,103816.0,37218.0,-3,17
10,8,40297,35497,89618,103199,37818.0,52539.0,66879.0,79624.0,52788.0,52383.0,53179.0,72976.0,97731.0,92685.0,42021.0,-2,18
10,9,38699,35299,79000,104143,32003.0,49966.0,66301.0,106867.0,59618.0,47573.0,51225.0,73704.0,89992.0,91481.0,42304.0,-1,19
10,10,33271,36762,78711,98428,70295.0,55364.0,66887.0,80600.0,49128.0,46928.0,51628.0,73800.0,89953.0,100100.0,75687.0,0,20
10,11,32845,32458,71978,93264,37687.0,56840.0,66248.0,96668.0,54271.0,46996.0,50998.0,67242.0,90733.0,87654.0,43102.0,1,21
10,12,32280,27764,66997,101753,38144.0,51422.0,73313.0,79294.0,54832.0,48598.0,50873.0,70273.0,87010.0,95350.0,35671.0,2,22
10,13,28966,26254,64902,95211,32345.0,57319.0,70186.0,,52175.0,42297.0,52491.0,68470.0,136639.0,98895.0,34395.0,3,23
10,14,31306,28926,81825,103132,42942.0,64720.0,75246.0,89710.0,53092.0,48860.0,79992.0,78702.0,101906.0,113333.0,33559.0,4,24
10,15,31317,31373,92041,103480,67464.0,61881.0,77087.0,91579.0,65194.0,82610.0,58344.0,68323.0,99798.0,119746.0,33649.0,5,25
10,16,32858,32089,86146,117701,46745.0,100652.0,81067.0,92028.0,57847.0,44958.0,53265.0,127819.0,101564.0,160186.0,43021.0,6,26
10,17,33693,31228,85534,105003,44282.0,65245.0,74415.0,86273.0,58380.0,54520.0,56127.0,80188.0,99825.0,109641.0,41683.0,7,27
10,18,51260,31339,159304,130732,45319.0,61145.0,81476.0,95855.0,60060.0,53954.0,61958.0,80484.0,104379.0,115764.0,40961.0,8,28
10,19,38548,33100,89326,126681,47211.0,63076.0,82995.0,94013.0,64881.0,54121.0,59448.0,71276.0,99174.0,111555.0,44734.0,9,29
10,20,31725,33758,90196,108452,41709.0,66148.0,86688.0,79711.0,59545.0,56720.0,61338.0,75553.0,92811.0,120388.0,40658.0,10,30
