receptor,0.0s,0.5s,1.0s,1.5s,odour,glomerulus
Or22a,0.3784722222222222,0.07406249999999999,0.027777777777777776,0.017361111111111112,2-heptanone at 10-2,DM2
Or9a,0.37614583333333335,0.07406249999999999,0.06364583333333333,0.0428125,2-heptanone at 10-2,VM3
Or43a,0.2384375,0.018506944444444444,0.008090277777777778,0.025451388888888888,2-heptanone at 10-2,DA4l
Or43b,0.2326388888888889,0.04861111111111111,0.03125,0.017361111111111112,2-heptanone at 10-2,VM2
Or2a,0.1365625,0.030104166666666668,0.024305555555555556,0.02315972222222222,2-heptanone at 10-2,DA4m
Or82a,0.1365625,0.0,-0.018506944444444444,-0.0011458333333333333,2-heptanone at 10-2,VA6
Or85f,0.13427083333333334,0.028923611111111112,0.0196875,0.013888888888888888,2-heptanone at 10-2,DL4
Or65a,0.13309027777777777,0.005798611111111111,-0.002326388888888889,-0.015034722222222222,2-heptanone at 10-2,DL3
Or67c,0.125,0.002326388888888889,0.009270833333333332,0.0011458333333333333,2-heptanone at 10-2,VC4
Or85a,0.11690972222222223,0.07177083333333334,0.052083333333333336,0.035868055555555556,2-heptanone at 10-2,DM5
Or23a,0.10302083333333334,0.026631944444444444,0.020833333333333332,0.010416666666666666,2-heptanone at 10-2,DA3
Or59b,0.09260416666666667,0.04861111111111111,0.024305555555555556,0.016215277777777776,2-heptanone at 10-2,DM4
Or10a,0.08100694444444444,0.03239583333333333,0.05555555555555555,0.025451388888888888,2-heptanone at 10-2,DL1
Or49b,0.07524305555555556,0.028923611111111112,0.018506944444444444,0.0,2-heptanone at 10-2,VA5
Or88a,0.05788194444444445,0.0509375,0.018506944444444444,0.010416666666666666,2-heptanone at 10-2,VA1d
Or7a,0.04628472222222222,0.009270833333333332,0.012743055555555556,0.004618055555555556,2-heptanone at 10-2,DL5
Or33b,0.010416666666666666,0.0011458333333333333,-0.03704861111111111,-0.034722222222222224,2-heptanone at 10-2,DM5+DM3
Or47b,-0.04052083333333333,-0.025451388888888888,-0.03357638888888889,-0.012743055555555556,2-heptanone at 10-2,VA1v
Or47a,0.2777777777777778,-0.009270833333333332,-0.008090277777777778,-0.006944444444444444,2-heptanone at 10-4,DM3
Or85b,0.8205902777777778,0.7569444444444444,0.4768402777777778,0.28934027777777777,2-heptanone at 10-4,VM5d
Or98a,0.3333333333333333,-0.03357638888888889,-0.026631944444444444,-0.017361111111111112,2-heptanone at 10-4,VM5v
Or19a,0.15163194444444444,0.12385416666666667,0.06597222222222222,0.0428125,2-heptanone at 10-4,DC1
Or67a,0.13309027777777777,-0.04052083333333333,-0.035868055555555556,-0.03357638888888889,2-heptanone at 10-4,DM6
Or35a,0.16434027777777777,0.11805555555555555,0.024305555555555556,0.008090277777777778,2-heptanone at 10-4,VC3
Or22a,0.18864583333333332,0.030104166666666668,0.016215277777777776,0.008090277777777778,2-heptanone at 10-4,DM2
Or9a,0.10302083333333334,0.008090277777777778,0.006944444444444444,0.002326388888888889,2-heptanone at 10-4,VM3
Or43a,0.13194444444444445,0.06944444444444445,0.020833333333333332,0.009270833333333332,2-heptanone at 10-4,DA4l
Or43b,0.09607638888888889,-0.006944444444444444,0.003472222222222222,-0.006944444444444444,2-heptanone at 10-4,VM2
Or2a,0.13427083333333334,0.0115625,-0.009270833333333332,-0.003472222222222222,2-heptanone at 10-4,DA4m
Or82a,0.052083333333333336,-0.03357638888888889,-0.025451388888888888,-0.020833333333333332,2-heptanone at 10-4,VA6
Or85f,0.08447916666666666,0.020833333333333332,-0.013888888888888888,-0.004618055555555556,2-heptanone at 10-4,DL4
Or65a,0.08447916666666666,-0.003472222222222222,-0.0196875,-0.012743055555555556,2-heptanone at 10-4,DL3
Or67c,0.03934027777777778,-0.012743055555555556,-0.015034722222222222,-0.020833333333333332,2-heptanone at 10-4,VC4
Or85a,-0.015034722222222222,-0.03125,-0.008090277777777778,-0.013888888888888888,2-heptanone at 10-4,DM5
Or23a,0.061354166666666675,-0.013888888888888888,-0.020833333333333332,-0.003472222222222222,2-heptanone at 10-4,DA3
Or59b,0.0798611111111111,0.003472222222222222,-0.0011458333333333333,0.0,2-heptanone at 10-4,DM4
Or10a,-0.0196875,-0.035868055555555556,0.004618055555555556,0.0115625,2-heptanone at 10-4,DL1
Or49b,0.049756944444444444,-0.002326388888888889,-0.010416666666666666,-0.005798611111111111,2-heptanone at 10-4,VA5
Or88a,0.10069444444444445,0.03357638888888889,0.008090277777777778,0.017361111111111112,2-heptanone at 10-4,VA1d
Or7a,0.05322916666666667,0.010416666666666666,-0.018506944444444444,-0.017361111111111112,2-heptanone at 10-4,DL5
Or33b,-0.06482638888888889,-0.05555555555555555,-0.018506944444444444,-0.0011458333333333333,2-heptanone at 10-4,DM5+DM3
Or47b,-0.015034722222222222,-0.021979166666666668,-0.027777777777777776,-0.0196875,2-heptanone at 10-4,VA1v
Or85b,0.8078819444444444,0.2222222222222222,0.08218750000000001,0.05555555555555555,apple at 10-2,VM5d
Or7a,0.7731597222222222,0.26274305555555555,0.09722222222222222,0.06944444444444445,apple at 10-2,DL5
Or35a,0.7546180555555556,0.5926041666666666,0.34260416666666665,0.2326388888888889,apple at 10-2,VC3
Or67a,0.7152777777777778,0.11690972222222223,0.003472222222222222,0.024305555555555556,apple at 10-2,DM6
Or22a,0.5358680555555556,0.07753472222222221,0.10649305555555556,0.1076388888888889,apple at 10-2,DM2
Or47a,0.43170138888888887,0.017361111111111112,0.017361111111111112,0.0115625,apple at 10-2,DM3
Or98a,0.4201388888888889,0.1851736111111111,0.1076388888888889,0.07524305555555556,apple at 10-2,VM5v
Or10a,0.26274305555555555,0.0011458333333333333,-0.012743055555555556,-0.008090277777777778,apple at 10-2,DL1
Or43b,0.24072916666666666,0.041666666666666664,-0.006944444444444444,-0.006944444444444444,apple at 10-2,VM2
Or85a,0.20600694444444445,0.03357638888888889,0.03357638888888889,0.025451388888888888,apple at 10-2,DM5
Or82a,0.18635416666666668,0.0763888888888889,0.03819444444444445,0.03239583333333333,apple at 10-2,VA6
Or59b,0.13774305555555555,0.016215277777777776,-0.0115625,-0.013888888888888888,apple at 10-2,DM4
Or9a,0.11343750000000001,0.013888888888888888,0.009270833333333332,0.018506944444444444,apple at 10-2,VM3
Or19a,0.10649305555555556,-0.013888888888888888,0.0,0.002326388888888889,apple at 10-2,DC1
Or23a,0.09836805555555556,0.034722222222222224,-0.02315972222222222,0.008090277777777778,apple at 10-2,DA3
Or67c,0.09375,0.05322916666666667,0.025451388888888888,0.0196875,apple at 10-2,VC4
Or43a,0.08447916666666666,0.012743055555555556,0.0011458333333333333,0.008090277777777778,apple at 10-2,DA4l
Or65a,0.06482638888888889,-0.018506944444444444,-0.008090277777777778,-0.009270833333333332,apple at 10-2,DL3
Or2a,0.03239583333333333,0.006944444444444444,0.017361111111111112,0.0115625,apple at 10-2,DA4m
Or85f,0.028923611111111112,0.026631944444444444,0.008090277777777778,0.010416666666666666,apple at 10-2,DL4
Or33b,0.025451388888888888,-0.025451388888888888,-0.003472222222222222,0.005798611111111111,apple at 10-2,DM5+DM3
Or49b,-0.004618055555555556,-0.016215277777777776,0.002326388888888889,0.002326388888888889,apple at 10-2,VA5
Or88a,-0.010416666666666666,-0.017361111111111112,0.009270833333333332,0.006944444444444444,apple at 10-2,VA1d
Or47b,-0.04861111111111111,-0.016215277777777776,0.003472222222222222,0.006944444444444444,apple at 10-2,VA1v
Or85b,0.36225694444444445,0.06482638888888889,-0.002326388888888889,-0.004618055555555556,apple at 10-4,VM5d
